鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
土城區,土地,明德段16地號,45.81,住,,,1130508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19000000,414757,,0.0,0,,RPUNMLQKNHJGFAF48DA,0.0,0.0,0.0,無,0001
板橋區,車位,新北市板橋區英士路６１號等共同使用,0.28,商,,,1130507,土地1建物1車位1,,,其他,,,,18.02,0,0,0,無,有,1580000,,坡道機械,18.02,1580000,僅車位交易；,RPTOMLQKNHJGFAF48DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區瑞安街１５號二樓,12.62,住,,,1130502,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680315,37.51,3,2,1,有,無,5000000,133298,,0.0,0,1.持分移轉2.土地增值稅由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPXOMLQKNHJGFAF88DA,37.51,0.0,0.0,無,0003
土城區,房地(土地+建物),新北市土城區永安街１１５巷２８號二樓,27.03,住,,,1130502,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701119,100.66,4,2,1,有,無,9000000,89410,,0.0,0,陽台外推；其他增建；,RPVPMLQKNHJGFAF78DA,83.16,0.0,17.5,無,
板橋區,土地,新雅段1045地號,0.02,住,,,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5638,0,,0.0,0,,RPOQMLQKNHJGFAF18DA,0.0,0.0,0.0,無,0004
板橋區,土地,新雅段1045地號,0.02,住,,,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5638,0,,0.0,0,,RPPQMLQKNHJGFAF28DA,0.0,0.0,0.0,無,0004
新莊區,土地,公正段45地號,13.43,住,,,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1420000,105733,,0.0,0,,RPQTMLQJNHJGFBF68DA,0.0,0.0,0.0,無,0006
泰山區,房地(土地+建物),新北市泰山區明志路三段１８２巷６號,32.48,住,,,1130507,土地1建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),商業用,加強磚造,0630525,79.63,2,2,1,有,無,9500000,119302,,0.0,0,後面推出增建占用鄰地由買方負責拆除其他增建；,RPSOMLTJNHJGFBF68DA,79.63,0.0,0.0,無,
泰山區,土地,泰山段二小段311-8地號,2776.2,住,,,1130509,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,407303000,146712,,0.0,0,,RPVOMLTJNHJGFBF98DA,0.0,0.0,0.0,無,
新莊區,土地,中泰段1189地號,2.94,都市：其他:道路用地,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,170068,,0.0,0,包含公共設施保留地用地；,RPTOMLQKNHJGFBF58DA,0.0,0.0,0.0,無,
深坑區,房地(土地+建物)+車位,新北市深坑區北深路三段２３８之２號十六樓,5.88,工,,,1130507,土地2建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0981221,90.65,1,0,1,有,有,7800000,138020,坡道平面,44.28,1400000,,RPSOMLSJNHJGFCF68DA,26.79,0.0,5.36,有,0007
新店區,土地,安華段650地號,473.28,都市：其他:保護區,,,1130509,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1893120,4000,,0.0,0,,RPQOMLPKNHJGFCF28DA,0.0,0.0,0.0,無,
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路一段２２７號十樓,9.04,住,,,1130501,土地1建物1車位1,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880806,133.6,3,2,2,有,有,10000000,74850,坡道平面,0.0,0,,RPRPMLPKNHJGFEF68DA,65.57,1.87,13.56,有,0008
蘆洲區,土地,保和段320地號,53.0,商,,,1130510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19200000,362264,,0.0,0,未登記建物；,RPPOMLTJNHJGFGF88DA,0.0,0.0,0.0,無,
蘆洲區,房地(土地+建物),新北市蘆洲區中山二路４號三樓,22.31,住,,,1130502,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690827,100.0,3,2,1,有,無,4500000,45000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLRKNHJGFGF09DA,100.0,0.0,0.0,無,
中和區,房地(土地+建物),新北市中和區圓通路３６９巷６之２號五樓,34.95,都市：其他:住宅區,,,1130502,土地2建物1車位0,五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780303,148.51,5,2,3,有,無,15000000,101003,,0.0,0,,RPPOMLOKNHJGFHF58DA,113.01,8.72,16.4,無,0009
板橋區,房地(土地+建物),新北市板橋區南雅南路一段８號三樓之十二,1.61,商,,,1130504,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830528,17.64,0,1,0,有,有,1800000,102041,,0.0,0,,RPUOMLNKNHJGFAF38EA,7.91,0.0,0.0,有,0010
五股區,房地(土地+建物)+車位,新北市五股區登林路貿商巷６弄８號十四樓,28.46,都市：其他:住宅區,,,1130502,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910731,166.41,3,2,2,有,有,2700000,16225,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQKNHJGFBF68EA,91.39,0.0,12.56,有,
汐止區,房地(土地+建物),新北市汐止區湖東街１６號,156.54,都市：其他:風景區,,,1130506,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0701231,79.61,4,2,3,有,無,12000000,150735,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKNHJGFDF48EA,70.29,4.05,5.26,無,
汐止區,房地(土地+建物)+車位,新北市汐止區伯爵街９７巷３３號１０樓,44.96,,山坡地保育區,丙種建築用地,1130509,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890929,134.26999999999998,3,2,2,有,有,12200000,90862,坡道平面,0.0,0,陽台外推；,RPTNMLQKNHJGFDF78EA,67.98,0.92,8.93,有,0011
鶯歌區,土地,中湖段1184地號,1.38,,山坡地保育區,農牧用地,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8288,6006,,0.0,0,地清或未辦繼承標售；,RPPNMLMLNHJGFIF58EA,0.0,0.0,0.0,無,0012
板橋區,房地(土地+建物),新北市板橋區中正路４２７號四樓,31.75,住,,,1130504,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630830,93.73,3,2,1,有,無,11000000,117358,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUQMLPKNHJGFAF68DA,93.73,0.0,0.0,無,
土城區,土地,金城段327地號,46.69,都市：其他:道路用地,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,128507,,0.0,0,,RPWNMLKLNHJGFAF18DA,0.0,0.0,0.0,無,0013
新莊區,房地(土地+建物)+車位,新北市新莊區富貴路１２５號二十一樓,18.35,住,,,1130507,土地1建物1車位1,二十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121020,159.24,4,2,2,有,有,12000000,80543,坡道平面,17.7,600000,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLKLNHJGFBF28DA,81.61,6.12,8.23,有,
汐止區,房地(土地+建物)+車位,新北市汐止區國興街２２巷８６號三樓,37.56,,鄉村區,乙種建築用地,1130503,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1121030,139.51999999999998,3,2,1,有,有,19440000,169776,坡道平面,37.68,2150000,,RPWNMLRJNHJGFDF98DA,62.83,0.3,3.25,有,
汐止區,車位,新北市汐止區新台五路一段１５９號地下一層,0.19,商,,,1130502,土地1建物1車位2,地下一層,十四層,其他,管理員室,鋼筋混凝土造,0880706,48.62,0,0,0,無,有,3260000,,坡道機械,48.62,3260000,僅車位交易；,RPOOMLRJNHJGFDF28DA,0.0,0.0,0.0,有,
萬里區,土地,中萬里加投段瑪鍊港內小段298地號,6084.84,,山坡地保育區,林業用地,1130501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7887768,1296,,0.0,0,61地號買賣總價771000298地號買賣總價7116768,RPTNMLNKNHJGFDF38DA,0.0,0.0,0.0,無,
