鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
信義區,土地,逸仙段三小段459地號,6.66,都市：其他:道路用地(公共設施用地)。51/9/1,,,1130502,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1023194,153633,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPQNMLRLMHJGFDA97DA,0.0,0.0,0.0,無,
信義區,土地,永吉段二小段669地號,38.0,都市：其他:道路用地(公共設施用地)。51/2/2,,,1130502,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3887400,102300,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPRNMLRLMHJGFDA08DA,0.0,0.0,0.0,無,001
信義區,土地,祥和段四小段370地號,4.5,都市：其他:道路用地(公共設施用地)。51/9/1,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,333450,74100,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPTNMLRLMHJGFDA28DA,0.0,0.0,0.0,無,
文山區,房地(土地+建物),臺北市文山區萬美街二段２巷７號五樓之１,64.27,都市：其他:第貳類住宅用地(萬芳社區特定專用區)。,,,1130513,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720916,99.62,3,2,1,有,有,14000000,140534,,0.0,0,,RPPNMLRKNHJGFAA67EA,69.62,0.0,6.44,有,
中山區,車位,臺北市中山區林森北路６５３號地下一層,0.15,商,,,1130503,土地1建物1車位1,地下一層,九層,其他,商業用,鋼筋混凝土造,0961024,20.040000000000003,0,0,0,無,有,950000,,坡道機械,20.03,950000,僅車位交易；,RPSNMLQKNHJGFCA08EA,0.0,0.0,0.0,有,002
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段２號二十三樓之２,38.46,商,,,1130515,土地2建物1車位4,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060425,444.6,3,2,2,有,有,112000000,251912,坡道平面,109.28,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLOKNHJGFAA67DA,200.89,12.36,10.08,有,003
中正區,房地(土地+建物),臺北市中正區鎮江街１巷１號七樓,25.04,商,,,1130502,土地1建物3車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0631018,129.5,3,2,1,有,有,30000000,231660,,0.0,0,陽台外推；,RPPOMLKLNHJGFBA17DA,104.66,0.0,11.24,有,004
萬華區,房地(土地+建物),臺北市萬華區武成街１２５巷４弄１９號,7.0,住,,,1130513,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0530104,19.57,3,2,2,有,無,1200000,61318,,0.0,0,1.土地增值稅由買方負擔2.持分移轉親友、員工、共有人或其他特殊關係間之交易；,RPOPMLKLNHJGFBA17DA,19.58,0.0,0.0,無,
信義區,土地,永春段一小段560地號,7.0,都市：其他:道路用地(公共設施用地)。51/9/1,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,726600,103800,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPPNMLRLMHJGFDA87DA,0.0,0.0,0.0,無,
信義區,建物,臺北市信義區信義路六段１８號,0.0,,,,1130513,土地0建物1車位0,一層,七層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0760825,14.870000000000001,0,0,0,無,無,1000000,67204,,0.0,0,建物坐落地號：永春段三小段436-4地號；親友、員工、共有人或其他特殊關係間之交易；,RPPOMLKLNHJGFDA37DA,6.62,7.77,0.0,有,
北投區,房地(土地+建物)+車位,臺北市北投區中央北路三段４０巷１９弄１１號八樓之２,19.33,住,,,1130513,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970702,97.53999999999999,2,2,1,有,有,16000000,182712,其他,18.18,1500000,陽台外推；,RPXOMLKLNHJGFEA28DA,44.62,2.72,6.53,有,
大安區,房地(土地+建物),臺北市大安區永康街２３巷２２之２號,10.87,住,,,1130511,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801024,39.010000000000005,1,0,1,有,有,6000000,153807,,0.0,0,一樓平台增建親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPROMLKLNHJGFFA77DA,20.12,4.98,0.0,有,
大同區,房地(土地+建物),臺北市大同區大龍街８９巷１號四樓之１,9.97,住,,,1130501,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,19.39,1,1,1,有,無,3000000,154719,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKLNHJGFBA37EA,17.68,0.0,1.71,無,
信義區,土地,三興段一小段719地號,19.42,都市：其他:道路用地(公共設施用地)。51/9/1,,,1130503,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,950000,48919,,0.0,0,包含公共設施保留地用地；,RPPNMLKLNHJGFDA37EA,0.0,0.0,0.0,無,005
內湖區,土地,碧湖段二小段696地號,95.5,住,,,1130507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14707000,154000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLRJNHJGFCA48DA,0.0,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區中山北路二段５９巷４５號七樓之５,5.93,商,,,1130503,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880928,49.58,2,1,1,有,有,14500000,292457,,0.0,0,,RPWOMLQKNHJGFCA48DA,35.43,0.0,2.94,有,
中山區,房地(土地+建物)+車位,臺北市中山區松江路７７巷２號八樓之３,3.12,商,,,1130510,土地2建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931224,36.989999999999995,0,0,0,無,有,6000000,162250,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKLNHJGFCA47DA,9.54,0.95,0.0,有,
內湖區,車位,臺北市內湖區大湖街１３１巷２弄２、６、８、１０、１２號門牌房屋地下二層,8.54,商,,,1130510,土地3建物1車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,0851231,49.35,0,0,0,無,有,2050000,,坡道平面,49.35,2050000,僅車位交易；,RPWNMLLLNHJGFCA97DA,0.0,0.0,0.0,有,006
南港區,土地,中南段二小段857地號,1248.1,住,,,1130508,土地10建物0車位0,,,其他,,,,0.0,0,0,0,無,無,636900000,510296,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLNHJGFDA37DA,0.0,0.0,0.0,無,007
松山區,車位,臺北市松山區八德路四段７８１號,0.23,商,,,1130511,土地1建物1車位2,一層,十五層,其他,一般事務所,鋼筋混凝土造,0960724,44.989999999999995,0,0,0,無,有,2300000,,坡道機械,45.0,2300000,僅車位交易；,RPQPMLKLNHJGFDA57DA,0.0,0.0,0.0,有,008
