鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,崙子段2069地號,6.92,住,,,1130504,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1129090,163163,,0.0,0,,RPPNMLKKNHJGFAO28DA,0.0,0.0,0.0,無,001
新竹市,房地(土地+建物),新竹市新竹市振興一街２１號四樓之３,8.5,住,,,1130502,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830622,28.590000000000003,1,1,1,有,無,2880000,100735,,0.0,0,加蓋凸窗其他增建；含租約；,RPSOMLLKNHJGFAO78DA,22.44,0.0,0.0,有,002
新竹市,房地(土地+建物)+車位,新竹市新竹市中正路１８２號十樓之３,4.18,商,,,1130504,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960305,43.68,1,0,1,有,有,3000000,68681,升降機械,10.82,0,陽台外推；,RPXPMLNKNHJGFAO96DA,18.85,0.0,3.63,有,
新竹市,土地,崙子段268地號,1888.0,住,,,1130514,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,238556754,126354,,0.0,0,,RPTOMLOKNHJGFAO56DA,0.0,0.0,0.0,無,003
新竹市,房地(土地+建物),新竹市新竹市光復路一段１９５巷２號,140.06,住,,,1130507,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0430101,360.78,6,3,4,有,無,22500000,62365,,0.0,0,,RPXSMLQKNHJGFAO57DA,360.78,0.0,0.0,無,
新竹市,土地,東山段一小段189-6地號,2.23,,,,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,31443,14100,,0.0,0,包含公共設施保留地用地；協議價購；,RPOSMLRKNHJGFAO76DA,0.0,0.0,0.0,無,
新竹市,土地,東山段一小段189-11地號,238.25,,,,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3359326,14100,,0.0,0,包含公共設施保留地用地；協議價購；,SPOSMLRKNHJGFAO86DA,0.0,0.0,0.0,無,004
新竹市,土地,東山段一小段189-15地號,49.0,,,,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,690900,14100,,0.0,0,包含公共設施保留地用地；協議價購；,TPOSMLRKNHJGFAO96DA,0.0,0.0,0.0,無,
新竹市,土地,東山段一小段189-16地號,1062.0,,,,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14974200,14100,,0.0,0,包含公共設施保留地用地；協議價購；,UPOSMLRKNHJGFAO07DA,0.0,0.0,0.0,無,
